SUPPLEMENTAL NUTRITION ASSISTANCE PROGRAM:  BENEFITS,,,,,
"(Data as of September 12, 2025)",,,,,
State / Territory,"June 2024
","May 2025
Preliminary","June 2025
Initial","Percent Change
June 2025 vs
May 2025","Percent Change
June 2025 vs
June 2024"
Alabama ,"145,382,962","142,142,795","141,284,108",-0.6%,-2.8%
Alaska,"20,267,572","23,758,811","22,835,683",-3.9%,12.7%
American Samoa,,,,--,--
Arizona,"161,589,431","161,705,602","161,904,717",0.1%,0.2%
Arkansas,"41,877,278","41,434,391","41,728,205",0.7%,-0.4%
California,"1,016,637,189","1,045,310,679","1,053,388,963",0.8%,3.6%
Colorado,"110,787,147","120,493,408","121,397,277",0.8%,9.6%
Connecticut,"63,521,227","69,466,050","69,731,443",0.4%,9.8%
Delaware,"21,725,635","21,340,950","21,194,321",-0.7%,-2.4%
District of Columbia,"26,737,697","26,658,037","26,811,395",0.6%,0.3%
Florida,"497,032,589","535,551,777","534,374,472",-0.2%,7.5%
Georgia,"267,657,007","252,417,633","259,131,942",2.7%,-3.2%
Guam,"10,037,324","9,189,271","11,959,484",30.1%,19.2%
Hawaii,"58,344,104","59,178,123","53,027,259",-10.4%,-9.1%
Idaho,"23,826,620","23,906,189","23,739,349",-0.7%,-0.4%
Illinois,"380,413,869","368,278,250","365,724,721",-0.7%,-3.9%
Indiana,"119,844,046","114,763,019","113,530,961",-1.1%,-5.3%
Iowa,"39,030,553","45,159,537","45,277,312",0.3%,16.0%
Kansas,"34,045,540","32,971,957","33,069,952",0.3%,-2.9%
Kentucky,"108,603,247","106,498,834","105,907,488",-0.6%,-2.5%
Louisiana,"158,290,162","149,696,882","146,583,785",-2.1%,-7.4%
Maine,"21,757,708","28,569,215","28,724,669",0.5%,32.0%
Maryland,"122,191,202","121,902,010","121,443,283",-0.4%,-0.6%
Massachusetts,"220,511,693","232,066,810","189,792,076",-18.2%,-13.9%
Michigan,"251,858,472","258,575,524","257,773,753",-0.3%,2.3%
Minnesota,"71,781,917","71,616,027","71,833,299",0.3%,0.1%
Mississippi,"68,140,770","64,031,732","63,914,539",-0.2%,-6.2%
Missouri,"123,893,018","128,629,589","131,098,385",1.9%,5.8%
Montana,"14,199,144","13,743,731","13,696,579",-0.3%,-3.5%
Nebraska,"21,856,690","27,258,920","26,691,289",-2.1%,22.1%
Nevada,"85,736,546","85,360,880","84,402,684",-1.1%,-1.6%
New Hampshire,"12,937,272","12,726,760","12,747,260",0.2%,-1.5%
New Jersey,"160,524,087","160,778,766","159,477,152",-0.8%,-0.7%
New Mexico,"76,886,430","80,790,061","81,009,368",0.3%,5.4%
New York,"644,261,655","647,210,404","643,780,040",-0.5%,-0.1%
North Carolina,"240,826,792","240,858,724","235,499,073",-2.2%,-2.2%
North Dakota,"9,568,457","9,959,141","10,015,205",0.6%,4.7%
Ohio,"267,925,274","269,900,178","263,509,632",-2.4%,-1.6%
Oklahoma,"129,846,738","129,386,266","129,176,806",-0.2%,-0.5%
Oregon,"137,733,477","140,986,834","140,497,472",-0.3%,2.0%
Pennsylvania,"358,620,087","355,777,154","348,809,800",-2.0%,-2.7%
Puerto Rico,,,,--,--
Rhode Island,"28,334,752","28,680,737","28,389,947",-1.0%,0.2%
South Carolina,"107,059,593","105,867,349","106,979,639",1.1%,-0.1%
South Dakota,"15,078,130","14,923,544","14,907,302",-0.1%,-1.1%
Tennessee,"138,658,851","140,318,213","139,611,081",-0.5%,0.7%
Texas,"608,498,052","621,979,431","623,459,229",0.2%,2.5%
Utah,"33,291,852","34,030,139","33,516,381",-1.5%,0.7%
Vermont,"12,476,174","12,462,574","12,356,139",-0.9%,-1.0%
Virginia,"148,829,795","146,404,646","145,805,363",-0.4%,-2.0%
Virgin Islands,"5,436,240","5,370,659","5,395,714",0.5%,-0.7%
Washington,"163,526,174","167,068,577","166,162,299",-0.5%,1.6%
West Virginia,"47,064,823","45,886,908","45,586,948",-0.7%,-3.1%
Wisconsin,"112,965,040","112,973,934","113,494,406",0.5%,0.5%
Wyoming,"5,248,810","4,985,385","4,940,826",-0.9%,-5.9%
Outlying Areas,,,,--,--
DOD Army/Air Force,,,,--,--
DOD Marines,,,,--,--
DOD Navy,,,,--,--
DOD Germany,,,,--,--
     TOTAL,"7,773,176,914","7,871,003,017","7,807,100,475",-0.8%,0.4%
May 2025 and June 2025 data are preliminary and are subject to significant revision. Data may include disaster assistance.,,,,,
"The following areas receive Nutrition Assistance Grants which provide benefits analogous to the Supplemental Nutrition Assistance Program:  Puerto Rico, American Samoa, and the Northern Marianas. ",,,,,
,,,,,